DateTime,EventId,EventType,Message,RecordId
2025-05-20 21:43:38,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,43566
2025-05-22 07:12:33,6013,System uptime report,The system uptime is 340214 seconds.,43573
2025-05-22 07:12:54,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,43594
2025-05-22 08:46:43,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,43705
2025-05-22 08:46:44,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,43726
2025-05-22 08:46:45,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,43730
2025-05-22 10:36:59,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,43760
2025-05-22 12:00:00,6013,System uptime report,The system uptime is 357466 seconds.,43811
2025-05-22 23:02:40,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,44058
2025-05-22 23:02:42,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,44080
2025-05-23 16:44:40,41,System rebooted without cleanly shutting down,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.",44116
2025-05-23 16:44:51,6008,Unexpected shutdown (previous shutdown was unexpected),The previous system shutdown at 10:59:21 PM on ‎5/‎22/‎2025 was unexpected.,44091
2025-05-23 16:44:51,6005,System startup (Event Log service started),The Event log service was started.,44093
2025-05-23 16:44:51,6013,System uptime report,The system uptime is 13 seconds.,44094
2025-05-23 16:48:54,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,44286
2025-05-24 00:05:30,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,44430
2025-05-24 09:15:03,41,System rebooted without cleanly shutting down,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.",44472
2025-05-24 09:15:14,6008,Unexpected shutdown (previous shutdown was unexpected),The previous system shutdown at 12:04:51 AM on ‎5/‎24/‎2025 was unexpected.,44447
2025-05-24 09:15:14,6005,System startup (Event Log service started),The Event log service was started.,44449
2025-05-24 09:15:14,6013,System uptime report,The system uptime is 16 seconds.,44450
2025-05-24 09:19:12,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,44635
2025-05-24 12:00:00,6013,System uptime report,The system uptime is 9902 seconds.,44738
2025-05-24 17:17:46,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,44765
2025-05-24 17:17:48,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,44786
2025-05-24 17:17:48,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,44787
2025-05-24 17:17:49,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,44794
2025-05-25 16:48:02,6013,System uptime report,The system uptime is 113584 seconds.,44799
2025-05-25 17:06:09,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,44834
2025-05-25 22:49:51,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,44905
2025-05-25 22:49:53,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,44926
2025-05-25 22:49:54,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,44933
2025-05-26 19:16:55,6013,System uptime report,The system uptime is 208921 seconds.,44938
2025-05-26 19:17:17,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,44966
2025-05-26 23:15:07,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,45125
2025-05-26 23:15:08,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45146
2025-05-26 23:15:10,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,45153
2025-05-27 07:24:58,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,45179
2025-05-27 09:17:37,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,45238
2025-05-27 09:17:39,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45259
2025-05-27 09:17:40,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,45268
2025-05-27 11:08:29,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,45294
2025-05-27 12:00:00,6013,System uptime report,The system uptime is 269109 seconds.,45352
2025-05-27 17:42:28,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,45375
2025-05-27 17:42:34,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45397
2025-05-27 17:42:36,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,45406
2025-05-27 20:33:01,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,45431
2025-05-27 23:00:57,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,45516
2025-05-27 23:00:58,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45537
2025-05-27 23:01:00,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,45544
2025-05-28 17:49:14,6013,System uptime report,The system uptime is 376462 seconds.,45550
2025-05-28 17:55:55,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,45581
2025-05-28 22:59:03,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,45760
2025-05-28 22:59:05,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45781
2025-05-28 22:59:06,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,45784
2025-05-29 07:58:46,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,45808
2025-05-29 10:06:55,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,45932
2025-05-29 10:07:21,6006,System shutdown (Event Log service stopped),The Event log service was stopped.,45937
2025-05-29 10:07:57,6005,System startup (Event Log service started),The Event log service was started.,45950
2025-05-29 10:07:57,6013,System uptime report,The system uptime is 11 seconds.,45951
2025-05-29 10:08:30,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,46189
2025-05-29 10:11:31,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,46274
2025-05-29 10:11:32,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,46296
2025-05-29 10:11:32,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,46297
2025-05-29 11:13:52,41,System rebooted without cleanly shutting down,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.",46338
2025-05-29 11:14:02,6008,Unexpected shutdown (previous shutdown was unexpected),The previous system shutdown at 10:07:57 AM on ‎5/‎29/‎2025 was unexpected.,46303
2025-05-29 11:14:02,6005,System startup (Event Log service started),The Event log service was started.,46305
2025-05-29 11:14:02,6013,System uptime report,The system uptime is 13 seconds.,46306
2025-05-29 11:15:28,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,46498
2025-05-29 11:24:34,1074,System shutdown/restart initiated,The process C:\Windows\System32\RuntimeBroker.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,46578
2025-05-29 11:24:41,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,46601
