DateTime,EventId,EventType,RecordId,SessionTag
2025-09-23 20:51:22,6008,Unexpected shutdown (previous shutdown was unexpected),84518,logoff
2025-09-23 20:51:34,7001,User logon notification,84674,logon
2025-09-24 19:26:24,41,System rebooted without cleanly shutting down,84816,logoff
2025-09-24 19:26:33,6005,System startup (Event Log service started),84801,logon
2025-09-24 19:26:33,6008,Unexpected shutdown (previous shutdown was unexpected),84799,logoff
2025-09-24 19:26:33,7001,User logon notification,84901,logon
2025-09-25 19:27:25,41,System rebooted without cleanly shutting down,85099,logoff
2025-09-25 19:27:37,6005,System startup (Event Log service started),85084,logon
2025-09-25 19:27:37,6008,Unexpected shutdown (previous shutdown was unexpected),85074,logoff
2025-09-25 19:28:55,7001,User logon notification,85230,logon
2025-09-25 23:11:49,1074,System shutdown/restart initiated,85362,logoff
2025-09-25 23:11:51,1074,System shutdown/restart initiated,85383,logoff
2025-09-25 23:11:51,7002,User logoff notification,85384,logoff
2025-09-26 09:39:36,41,System rebooted without cleanly shutting down,85449,logoff
2025-09-26 09:39:45,6008,Unexpected shutdown (previous shutdown was unexpected),85432,logoff
2025-09-26 09:39:45,6005,System startup (Event Log service started),85434,logon
2025-09-26 09:47:46,7001,User logon notification,85585,logon
2025-09-26 19:46:30,41,System rebooted without cleanly shutting down,85772,logoff
2025-09-26 19:46:41,6008,Unexpected shutdown (previous shutdown was unexpected),85747,logoff
2025-09-26 19:46:41,6005,System startup (Event Log service started),85749,logon
2025-09-26 19:46:59,7001,User logon notification,85904,logon
2025-09-26 23:35:30,1074,System shutdown/restart initiated,85982,logoff
2025-09-26 23:35:33,1074,System shutdown/restart initiated,86006,logoff
2025-09-26 23:35:33,7002,User logoff notification,86007,logoff
2025-09-27 10:30:19,7001,User logon notification,86029,logon
2025-09-27 13:23:48,1074,System shutdown/restart initiated,86098,logoff
2025-09-27 13:23:51,7002,User logoff notification,86122,logoff
2025-09-27 16:48:17,7001,User logon notification,86141,logon
2025-09-27 17:27:18,1074,System shutdown/restart initiated,86183,logoff
2025-09-27 17:27:20,7002,User logoff notification,86206,logoff
2025-09-28 14:25:10,7001,User logon notification,86234,logon
2025-09-28 18:39:24,1074,System shutdown/restart initiated,86351,logoff
2025-09-28 18:39:27,7002,User logoff notification,86374,logoff
2025-09-29 20:23:17,7001,User logon notification,86406,logon
2025-09-29 22:56:30,1074,System shutdown/restart initiated,86492,logoff
2025-09-29 22:56:33,7002,User logoff notification,86516,logoff
2025-09-30 07:41:32,7001,User logon notification,86538,logon
2025-10-01 03:43:43,7002,User logoff notification,86893,logoff
2025-10-01 03:44:42,6005,System startup (Event Log service started),86907,logon
2025-10-01 03:45:13,1074,System shutdown/restart initiated,87102,logoff
2025-10-01 03:45:41,6005,System startup (Event Log service started),87112,logon
2025-10-01 07:33:48,7001,User logon notification,87264,logon
2025-10-01 08:02:14,1074,System shutdown/restart initiated,87311,logoff
2025-10-01 08:02:15,7002,User logoff notification,87335,logoff
2025-10-01 08:02:15,1074,System shutdown/restart initiated,87334,logoff
2025-10-01 18:10:49,7001,User logon notification,87371,logon
2025-10-01 20:58:48,1074,System shutdown/restart initiated,87506,logoff
2025-10-01 20:58:49,7002,User logoff notification,87529,logoff
2025-10-02 08:25:15,7001,User logon notification,87558,logon
2025-10-02 08:56:15,1074,System shutdown/restart initiated,87713,logoff
2025-10-02 08:56:16,7002,User logoff notification,87736,logoff
2025-10-02 21:25:15,7001,User logon notification,87761,logon
2025-10-02 23:17:35,1074,System shutdown/restart initiated,87881,logoff
2025-10-02 23:17:37,7002,User logoff notification,87905,logoff
2025-10-03 07:56:43,7001,User logon notification,87928,logon
2025-10-03 23:02:10,1074,System shutdown/restart initiated,88160,logoff
2025-10-03 23:02:13,7002,User logoff notification,88185,logoff
2025-10-04 08:38:09,7001,User logon notification,88222,logon
2025-10-04 23:42:30,1074,System shutdown/restart initiated,88412,logoff
2025-10-04 23:42:32,7002,User logoff notification,88436,logoff
2025-10-05 10:32:38,7001,User logon notification,88459,logon
2025-10-05 20:27:48,1074,System shutdown/restart initiated,88572,logoff
2025-10-05 20:27:49,7002,User logoff notification,88597,logoff
2025-10-06 19:28:30,6005,System startup (Event Log service started),88609,logon
2025-10-06 20:18:27,7001,User logon notification,88793,logon
2025-10-06 23:00:02,1074,System shutdown/restart initiated,88979,logoff
2025-10-06 23:00:03,1074,System shutdown/restart initiated,89002,logoff
2025-10-06 23:00:03,7002,User logoff notification,89003,logoff
2025-10-07 11:09:36,7001,User logon notification,89025,logon
2025-10-07 22:54:08,1074,System shutdown/restart initiated,89177,logoff
2025-10-07 22:54:10,7002,User logoff notification,89200,logoff
2025-10-08 19:18:17,7001,User logon notification,89248,logon
2025-10-08 23:33:03,1074,System shutdown/restart initiated,89398,logoff
2025-10-08 23:33:05,7002,User logoff notification,89421,logoff
2025-10-09 07:35:43,7001,User logon notification,89443,logon
2025-10-09 08:35:15,7002,User logoff notification,89602,logoff
2025-10-09 08:35:50,6005,System startup (Event Log service started),89615,logon
2025-10-09 08:35:52,7001,User logon notification,89773,logon
2025-10-09 08:38:12,1074,System shutdown/restart initiated,89865,logoff
2025-10-09 08:38:14,7002,User logoff notification,89888,logoff
2025-10-09 08:38:52,6005,System startup (Event Log service started),89900,logon
2025-10-09 08:38:53,7001,User logon notification,90043,logon
2025-10-09 17:24:38,41,System rebooted without cleanly shutting down,90155,logoff
2025-10-09 17:24:49,6008,Unexpected shutdown (previous shutdown was unexpected),90130,logoff
2025-10-09 17:24:49,6005,System startup (Event Log service started),90132,logon
2025-10-09 17:24:49,7001,User logon notification,90243,logon
2025-10-09 18:11:55,1074,System shutdown/restart initiated,90393,logoff
2025-10-09 18:12:02,1074,System shutdown/restart initiated,90417,logoff
2025-10-09 18:12:02,7002,User logoff notification,90418,logoff
2025-10-10 07:53:08,7001,User logon notification,90439,logon
2025-10-10 17:20:15,41,System rebooted without cleanly shutting down,90642,logoff
