session_id,date,start_time,end_time,session_hours,activity_id,activity_name_nl,sub_activity_id,sub_activity_name_nl,sub_activity_estimated_hours,cumulative_hours,commit_count
ses_0226,2025-08-30,09:55:00,12:20:00,2.4166666666666665,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,41.233333333333334,0
ses_0228,2025-08-30,14:20:00,15:30:00,1.1666666666666667,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,42.4,0
ses_0229,2025-08-30,16:10:00,22:55:00,6.75,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,49.15,0
ses_0230,2025-08-31,09:40:00,10:00:00,0.3333333333333333,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,0.3333333333333333,0
ses_0231,2025-09-01,20:15:00,22:55:00,2.6666666666666665,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,3.0,0
ses_0232,2025-09-02,06:40:00,08:30:00,1.8333333333333333,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,4.833333333333333,0
ses_0233,2025-09-02,13:45:00,23:15:00,9.5,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,14.333333333333332,0
ses_0234,2025-09-03,21:40:00,22:40:00,1.0,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,15.333333333333332,0
ses_0235,2025-09-04,11:45:00,23:59:00,12.233333333333333,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,27.566666666666663,0
ses_0236,2025-09-06,14:15:00,21:00:00,6.75,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,34.31666666666666,0
ses_0237,2025-09-07,08:15:00,09:50:00,1.5833333333333333,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,35.9,0
ses_0239,2025-09-07,12:35:00,13:50:00,1.25,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,37.15,0
ses_0240,2025-09-07,16:30:00,18:00:00,1.5,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,38.65,0
ses_0241,2025-09-08,17:45:00,19:35:00,1.8333333333333333,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,40.483333333333334,0
ses_0242,2025-09-08,19:50:00,23:15:00,3.4166666666666665,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,43.9,0
ses_0243,2025-09-09,07:35:00,23:59:00,16.4,authentication_system,Authenticatie Systeem Ontwikkeling,user_authentication,Gebruikersauthenticatie en Sessiebeheer,45.0,60.3,0
ses_0245,2025-09-11,07:45:00,20:20:00,12.583333333333334,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,12.583333333333334,0
ses_0246,2025-09-11,21:35:00,23:20:00,1.75,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,14.333333333333334,0
ses_0247,2025-09-12,07:10:00,23:59:00,16.816666666666666,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,31.15,0
ses_0249,2025-09-14,09:40:00,10:00:00,0.3333333333333333,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,31.48333333333333,0
ses_0250,2025-09-14,13:30:00,14:15:00,0.75,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,32.233333333333334,0
ses_0251,2025-09-14,15:40:00,22:40:00,7.0,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,39.233333333333334,0
ses_0252,2025-09-15,09:35:00,23:59:00,14.4,privacy_preserving_cloud,Privacy-bewuste Cloud Integratie,data_anonymization,Data Anonimisering en Pseudonimisering,45.0,53.63333333333333,0
ses_0254,2025-09-16,22:05:00,23:15:00,1.1666666666666667,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,1.1666666666666667,0
ses_0255,2025-09-17,06:45:00,07:55:00,1.1666666666666667,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,2.3333333333333335,0
ses_0256,2025-09-17,19:45:00,23:15:00,3.5,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,5.833333333333334,0
ses_0257,2025-09-18,06:40:00,07:30:00,0.8333333333333334,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,6.666666666666667,0
ses_0258,2025-09-18,21:25:00,22:45:00,1.3333333333333333,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,8.0,0
ses_0259,2025-09-19,14:20:00,23:59:00,9.65,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,17.65,0
ses_0261,2025-09-20,17:50:00,22:15:00,4.416666666666667,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,22.066666666666666,0
ses_0262,2025-09-21,09:20:00,10:05:00,0.75,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,22.816666666666666,0
ses_0263,2025-09-21,16:15:00,21:05:00,4.833333333333333,rag_pipeline_development,RAG Pipeline Ontwikkeling,semantic_search,Semantische Zoekfunctionaliteit,40.0,27.65,0
